"Source","Threat Scenario / Entry Vector","Primary Compromised Entity","Status","Downstream Impacted Entities (Blast Radius)","Required Data Feeds / Endpoints","Blast Radius Graph / Relational Join Logic","Risk & Impact Score Calculation Formula"
"AWS","EC2 Compromise & SSRF metadata theft (T1552.005)","Web Application Instance (EC2)","NEW","S3 Buckets, RDS Databases, DynamoDB, AssumeRole IAM Target Accounts","`aws ec2 describe-instances`, `aws iam get-account-authorization-details`, `aws s3api list-buckets`","`aws_ec2_instances.iam_instance_profile` → `aws_iam_policies.entity_name` JOIN `aws_s3_buckets` ON role permissions","Blast Radius = Count(Reachable S3 Buckets * Sensitivity_Weight) + Count(Transitive AssumeRole Target Accounts)"
"AWS","Compromised AWS IAM Credentials (T1078)","IAM User / Access Key","CHANGED","Cross-Account AWS Resources, Administrative IAM Policies, Production Databases","`aws iam get-account-authorization-details` (with Trust Relationships & Cross-Account ARNs)","`aws_iam_policies.cross_account_arns` → `target_aws_account.aws_iam_policies` JOIN `aws_security_groups`","Blast Radius = Sum(Direct Accessible Resources) + Transitive Role Reachable Accounts"
"Azure","Virtual Machine Breach & Managed Identity Hijack (T1078)","Azure Virtual Machine (VM)","NEW","Azure Key Vaults, Subscription Resources, SQL Databases, Storage Accounts","`az vm list --show-details`, `az role assignment list --all`, `az keyvault list`","`azure_virtual_machines.managed_identity_id` → `azure_rbac_assignments.principal_id` JOIN `azure_key_vaults` ON scope","Blast Radius = Count(Key Vault Secrets) + Count(Subscription Resources where Role IN ('Owner','Contributor'))"
"Azure","Permissive VNet Peering Pivot (T1021)","Subnet Web VM","CHANGED","Internal VNet VMs, Cross-Subscription Subnets, Key Vault Private Endpoints","`az graph query` (NSG rules), `az network vnet peering list`","`azure_nsg_rules.connected_vm_ids` → `azure_vnet_peerings.remote_vnet_id` JOIN `azure_virtual_machines`","Blast Radius = Count(Reachable VMs via Open NSG Ports across Peered VNets)"
"GCP","Compute Metadata Token Theft & Impersonation (T1098)","Compute Engine Instance","NEW","GCP Projects, BigQuery Datasets, Cloud Storage Buckets, Service Account Tokens","`gcloud compute instances list`, `gcloud projects get-iam-policy`, `gcloud storage buckets list`","`gcp_compute_instances.service_account_email` → `gcp_iam_bindings.member_email` JOIN `gcp_storage_datasets`","Blast Radius = Sum(Accessible BigQuery Datasets * Data Classification Score) + Impersonated Service Accounts"
"HashiCorp Vault","Compromised Vault Token / AppRole (T1552)","AppRole / Vault Token","NEW","AWS Dynamic Credentials, SQL Database Passwords, KV Secret Paths, PKI Certificates","`vault secrets list`, `vault policy read <policy>`, `vault list auth/token/accessors`","`vault_secret_mounts.associated_policies` → `vault_acl_policies.path_pattern` JOIN Target DB/AWS Mounts","Blast Radius = Count(KV Secret Paths) + Count(Dynamic AWS/DB Secret Engines controlled by Policy)"
"BeyondTrust PAM","PAM User Credential Theft & Checkout Window Expiry (T1078)","PAM User / Password Release","CHANGED","Domain Controllers, Payment Gateway Servers, Database Clusters, Network Routers","`GET /api/v1/active-sessions`, `GET /api/v1/assets`, `GET /api/v1/user-policy-assignments`","`beyondtrust_active_sessions.checked_out_password_id` → `beyondtrust_managed_assets.system_id` JOIN Target IP","Blast Radius = Sum(Managed Servers accessible via checked-out accounts lacking active ITSM Ticket)"
"SailPoint","Compromised Employee Identity & Deprovisioning Failure (T1098)","SailPoint Identity / HR Profile","CHANGED","Active Directory Users, AWS IAM Accounts, SAP ERP Roles, Salesforce Orgs, Direct Reports","`GET /v3/public-identities`, `GET /v3/accounts`, `GET /v3/access-profiles`","`sailpoint_identities.identity_id` → `sailpoint_application_accounts.identity_id` JOIN Target System Accounts","Blast Radius = Count(Active Target System Accounts) + Count(Direct Report Access Profiles)"
"Active Directory","Kerberoasting Service Account Ticket Cracking (T1558.003)","SPN Service Account (e.g. sql_svc)","NEW","Domain Controllers, SQL Databases, Member Servers, Delegated Domain Admin Rights","`Get-ADUser -Filter {ServicePrincipalName -ne $null}`, `Get-ADComputer`, `Get-ADDomainTrust`","`ad_kerberoastable_accounts.sam_account_name` → `ad_users.member_of` JOIN `ad_computers_trusts`","Blast Radius = Count(Domain Computers where SPN account has Local/Domain Admin) + Trusted Forests"
"Entra ID","Service Principal Client Secret Leak (T1098)","App Registration / Service Principal","NEW","Microsoft Graph API, M365 Mailboxes, Sharepoint Sites, Azure Subscription Resources","`GET /v1.0/servicePrincipals`, `GET /v1.0/applications`, `GET /v1.0/roleManagement/directory/roleAssignments`","`entra_service_principals.app_id` → `entra_role_assignments.principal_id` JOIN MS Graph Permission Scopes","Blast Radius = Sum(Granted MS Graph API Scopes) + Count(M365 Mailboxes & Tenant Directory Objects)"
"Entra ID Protection","Identity Token Hijacking & Session Theft (T1539)","High Risk User Account","EXISTING","Entra ID Security Groups, M365 Tenant Apps, Azure Subscriptions","`GET /v1.0/identityProtection/riskDetections`, `GET /v1.0/identityProtection/riskyUsers`","`entra_risk_detections.user_principal_name` → `entra_role_assignments.principal_name` JOIN `entra_groups`","Blast Radius = Count(Tenant Directory Roles held by Risky User) + Subordinated Group Members"
"Defender for Identity","Domain Lateral Movement Path Compromise (T1021)","Standard Workstation / User","NEW","Domain Admin Accounts, Domain Controllers, Sensitive Tier-0 AD Assets","`GET /v1.0/security/identities/lateralMovementPaths`, `GET /v1.0/security/alerts`","`defender_lateral_movement_paths.source_entity` → `defender_lateral_movement_paths.target_entity` (Hop Chain)","Blast Radius = Hop Count to Domain Admin * Tier-0 Asset Sensitivity Multiplier"
"Wiz.io CSPM","Exposed Secret + Public IP Toxic Combination (T1190)","Public Internet Host / VM","NEW","Internal Cloud Graph Nodes, Database Stores, Private S3/GCS Buckets, Managed Keys","`POST https://api.wiz.io/graphql` (Queries: `graphSearch` & `issues`)","`wiz_cloud_graph.source_resource_id` → `wiz_cloud_graph.target_resource_id` (Graph Traversal)","Blast Radius = Graph Reachability Depth * Total Exposed Secret Store Count"
"Control Libraries / CIS","System Configuration Drift on Critical Asset (M1028)","Host / Operating System","CHANGED","Host File Systems, Local LSASS Memory, Network Shares, Unpatched Services","CIS-CAT tool runs / OpenSCAP reports","`compliance_benchmark_reports.host_id` → `edr_process_events.host_name` JOIN Host Inventory","Blast Radius = Asset Criticality Score * (Failed CIS Rules Count / Total Rules Count)"
"EDR / OS Telemetry","Malicious Process Spawning & Active Lateral Sockets (T1059)","Compromised Process (e.g. cmd.exe)","NEW","Internal Subnet IPs, Remote Admin Ports (22/3389/445), Downstream Host Processes","Win Event 4688 (Process Creation) & Sysmon Event 3 (Network Connection)","`edr_process_events.process_guid` → `edr_network_connections.process_name` JOIN Destination IP","Blast Radius = Count(Active Remote Sockets established by Malicious Process Tree)"
