"Status","Source","Category of Data","Blast Radius Metric / Target Entity","Details to Extract (Blast Radius Focus)","How to Extract (Command / API / Method)","Native Export Format","What to Download (Record Set)","How to Download","RDBMS Table Name","RDBMS Schema & Column Types (Including New Blast Radius Fields)","Vulnerability / Audit Check Criteria","Blast Radius & Downstream Impact Calculation Criteria","MITRE ATT&CK Mapping","MITRE D3FEND Mapping","Blast Radius Tool Capabilities & Gap Notes"
"NEW","AWS","Asset Topology & Host Inventory","EC2 Instances & Interfaces","InstanceId, PrivateIpAddress, PublicIpAddress, SecurityGroups, SubnetId, VpcId, IAMInstanceProfile, Tags (Environment, DataSensitivity)","aws ec2 describe-instances --output json && aws ec2 describe-network-interfaces --output json","JSON","EC2 Instance descriptions, Network Interfaces, Attached Security Groups, Subnets, IAM Profiles","CLI: aws ec2 describe-instances --output json OR Boto3: ec2.describe_instances()","aws_ec2_instances","instance_id VARCHAR(64) PRIMARY KEY, private_ip VARCHAR(32), public_ip VARCHAR(32), vpc_id VARCHAR(64), subnet_id VARCHAR(64), security_groups JSONB, iam_instance_profile VARCHAR(256), tags JSONB, environment VARCHAR(32), data_sensitivity VARCHAR(32)","Identify internet-facing instances holding privileged IAM instance profiles or attached to database subnets.","Count of reachable VMs in same VPC/Subnet + IAM role assume rights + sensitive S3 buckets accessible via instance profile.","T1078 (Valid Accounts), T1552.005 (Cloud Instance Metadata API)","D3-NI (Network Ingress Filtering), D3-POA (Policy Access Control)","Requires 'ec2:DescribeInstances' across all AWS regions to map cross-VPC topology."
"CHANGED","AWS","Identity & Access Management","IAM Policy & Role Assume Graph","IAM Policy Documents, Attached Policies, AssumeRole Policy Trust Relationships, Cross-Account ARNs","aws iam get-account-authorization-details --output json","JSON","Users, Groups, Roles, Managed Policies, Inline Policies, Trust Relationships (AssumeRolePolicyDocument)","CLI: aws iam get-account-authorization-details --output json OR AWS SDK","aws_iam_policies","policy_id VARCHAR(64) PRIMARY KEY, policy_name VARCHAR(128), entity_type VARCHAR(32), entity_name VARCHAR(128), is_attached BOOLEAN, document_json JSONB, trust_relationships JSONB, cross_account_arns JSONB, transitive_permissions JSONB, created_at TIMESTAMP","Identify customer-managed policies with wildcard permissions or administrative rights assigned directly to users instead of groups.","Traverse AssumeRole trust chains to identify all accounts, roles, and resources reachable from compromised identity.","T1078 (Valid Accounts), T1098 (Account Manipulation), T1484 (Domain Policy Modification)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Added 'trust_relationships' and 'cross_account_arns' fields to calculate role assumption blast radius."
"CHANGED","AWS","Network Configuration","VPC Security Groups & Peering Topology","VPC Security Groups, Network ACLs, VPC Peering Connections, Route Tables","aws ec2 describe-security-groups --output json && aws ec2 describe-vpc-peering-connections --output json","JSON","Security Group IDs, VPC IDs, Ingress/Egress Rules, VPC Peering Connections (Requester/Accepter VPCs)","CLI: aws ec2 describe-security-groups --output json && aws ec2 describe-vpc-peering-connections --output json","aws_security_groups","group_id VARCHAR(64) PRIMARY KEY, vpc_id VARCHAR(64), group_name VARCHAR(128), direction VARCHAR(8), protocol VARCHAR(16), from_port INT, to_port INT, cidr_ipv4 VARCHAR(32), vpc_peering_ids JSONB, connected_subnets JSONB, raw_rule JSONB","Check for rules allowing unrestricted ingress ('0.0.0.0/0') on administrative ports like TCP/22 and TCP/3389.","Map network reachability graph across VPC peerings to calculate lateral movement blast radius from breached subnet.","T1190 (Exploit Public-Facing Application), T1021 (Remote Services)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Added 'vpc_peering_ids' and 'connected_subnets' to calculate inter-VPC reachability."
"NEW","AWS","Data Storage & Encryption","S3 Buckets & Resource Policies","BucketName, BucketPolicy, PublicAccessBlockConfiguration, KMSMasterKeyId, TagSet, DataClassification","aws s3api list-buckets --output json && aws s3api get-bucket-policy --bucket <b_name>","JSON","S3 Buckets, Bucket ACLs, Bucket Policies, Public Access Block configs, Encryption KMS keys","CLI: aws s3api list-buckets --output json OR AWS SDK s3.list_buckets()","aws_s3_buckets","bucket_name VARCHAR(128) PRIMARY KEY, vpc_restriction_id VARCHAR(64), is_public BOOLEAN, bucket_policy JSONB, kms_key_id VARCHAR(256), tags JSONB, data_classification VARCHAR(32)","Identify publicly readable/writable buckets or buckets lacking explicit VPC endpoint restrictions.","Sum of unencrypted sensitive S3 data readable by compromised IAM role or EC2 instance profile.","T1530 (Data from Cloud Storage Object), T1098 (Account Manipulation)","D3-DEC (Data Encryption in Transit), D3-POA (Policy Access Control)","Requires iterating over buckets to query policies and public access blocks."
"EXISTING","AWS","Auditing & Logging","CloudTrail Configuration","Trail ARN, Name, S3BucketName, IsMultiRegionTrail, LogFileValidationEnabled, KmsKeyId","aws cloudtrail describe-trails --output json","JSON","Trail ARN, Name, S3BucketName, IsMultiRegionTrail, LogFileValidationEnabled, KmsKeyId","CLI: aws cloudtrail describe-trails --output json","aws_cloudtrail_configs","trail_arn VARCHAR(256) PRIMARY KEY, trail_name VARCHAR(128), s3_bucket VARCHAR(128), is_multi_region BOOLEAN, log_validation_enabled BOOLEAN, kms_key_id VARCHAR(256), is_logging BOOLEAN","Verify that at least one multi-region trail is configured, active, and logs are write-protected.","Blast radius scope: If validation is disabled, forensic log audit capability across impacted regions is compromised.","T1562.001 (Impair Defenses: Disable or Modify Tools)","D3-AL (Auditing & Logging), D3-LVA (Log Validation)","Already existing in base spec; establishes forensic traceability boundary."
"NEW","Azure","Asset Topology & Host Inventory","Virtual Machines & Interfaces","VM ID, VM Name, PrivateIP, PublicIP, SubnetId, NetworkSecurityGroup, ManagedIdentityPrincipalId, Tags","az vm list --show-details --output json && az network nic list --output json","JSON","VM list, Public/Private IPs, Network Interfaces, Subnet bindings, System/User Managed Identities","CLI: az vm list --show-details --output json OR Azure Resource Graph query","azure_virtual_machines","vm_id VARCHAR(256) PRIMARY KEY, vm_name VARCHAR(128), resource_group VARCHAR(128), private_ip VARCHAR(32), public_ip VARCHAR(32), subnet_id VARCHAR(256), nsg_id VARCHAR(256), managed_identity_id VARCHAR(64), tags JSONB","Identify public-facing VMs bound to Managed Identities with Owner or Contributor roles on subscription.","Count of virtual machines and key vaults accessible via compromised VM Managed Identity or flat VNet subnet.","T1078 (Valid Accounts), T1552.005 (Cloud Instance Metadata API)","D3-NI (Network Ingress Filtering), D3-POA (Policy Access Control)","Requires VM Reader role across subscriptions to retrieve network interface details."
"CHANGED","Azure","Identity & Access Management","Subscription & Transitive RBAC","Role Assignment ID, PrincipalId, PrincipalType, RoleDefinitionName, Scope, TransitiveGroupMemberships","az role assignment list --all --output json && az ad group member list --group <g_id>","JSON","Role Assignments, Principal IDs, Scope, Subscription IDs, Entra ID Group Member Lists","CLI: az role assignment list --all --output json OR Azure Resource Graph","azure_rbac_assignments","assignment_id VARCHAR(256) PRIMARY KEY, principal_id VARCHAR(64), principal_type VARCHAR(32), principal_name VARCHAR(128), role_name VARCHAR(128), scope VARCHAR(512), subscription_id VARCHAR(64), group_memberships JSONB, is_guest BOOLEAN","Identify guest or unmanaged accounts containing Owner or Contributor roles directly assigned at subscription scopes.","Expand Entra ID group memberships to calculate total human & service identity count inheriting compromised role.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Added 'group_memberships' to resolve inherited group RBAC assignments."
"CHANGED","Azure","Network Configuration","NSG Rules & VNet Peering Topology","NSG Rules, Priority, Direction, Access, VNet Peerings, RemoteVirtualNetworkId, ConnectedVMs","az graph query -q ""Resources | where type =~ 'Microsoft.Network/networkSecurityGroups'"" && az network vnet peering list","JSON","NSG Security Rules, VNet Peerings, Subnet Bindings, Remote VNet IDs, Peering States","CLI: az graph query OR az network vnet peering list --resource-group <rg> --vnet-name <vnet>","azure_nsg_rules","rule_id VARCHAR(256) PRIMARY KEY, nsg_id VARCHAR(256), nsg_name VARCHAR(128), priority INT, direction VARCHAR(16), access VARCHAR(16), source_prefix VARCHAR(64), dest_port_range VARCHAR(64), protocol VARCHAR(16), remote_vnet_id VARCHAR(256), connected_vm_ids JSONB","Identify NSGs allowing open ingress on administration ports, and check for unencrypted cross-subscription VNET peerings.","Map cross-subscription lateral movement radius enabled by permissive VNet peerings and broad NSG rules.","T1190 (Exploit Public-Facing Application), T1021 (Remote Services)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Added 'remote_vnet_id' and 'connected_vm_ids' to evaluate inter-VNet blast radius."
"NEW","Azure","Key Vault & Secret Management","Key Vault Access Policies & Secrets","VaultUri, VaultId, AccessPolicies, ManagedIdentityBindings, NetworkAcls, SecretNames, KeyTypes","az keyvault list --output json && az keyvault secret list --vault-name <v_name> --output json","JSON","Key Vaults, Access Policies, Secret metadata, Private Endpoints, Network ACL rules","CLI: az keyvault list --output json OR REST API GET /subscriptions/{sub}/providers/Microsoft.KeyVault/vaults","azure_key_vaults","vault_id VARCHAR(256) PRIMARY KEY, vault_name VARCHAR(128), resource_group VARCHAR(128), access_policies JSONB, network_acls JSONB, secret_names JSONB, is_public_access BOOLEAN","Identify Key Vaults allowing public network access or granting full 'Set/Get/Delete' secret permissions to non-admin SPNs.","Count of database strings, API keys, and certificates accessible from compromised principal.","T1552.004 (Private Keys), T1098 (Account Manipulation)","D3-DEC (Data Encryption), D3-POA (Policy Access Control)","Requires 'Microsoft.KeyVault/vaults/read' permission across resource groups."
"EXISTING","Azure","Auditing & Logging","Diagnostic Settings & Alerts","Setting ID, ResourceId, WorkspaceId, StorageAccountId, Log Categories, Activity Log Alerts","az monitor diagnostic-settings list --resource <resource_id>","JSON","Diagnostic settings, Log Categories, EventHub / Storage Account destinations","CLI: az monitor diagnostic-settings list --resource <resource_id>","azure_diagnostic_settings","setting_id VARCHAR(256) PRIMARY KEY, resource_id VARCHAR(512), workspace_id VARCHAR(256), storage_account VARCHAR(256), log_categories JSONB, alerts_enabled BOOLEAN","Ensure administrative write events trigger SIEM forwarding and security alerts.","Blast radius scope: Unmonitored resource groups where attacker actions bypass SIEM detection.","T1562.001 (Impair Defenses), T1562.008 (Disable Cloud Logs)","D3-AL (Auditing & Logging), D3-SCA (Security Control Auditing)","Already existing in base spec; defines logging audit perimeter."
