"Source","Category of Data","Details to Extract","How to Extract (Command / API / Method)","Native Export Format","What to Download (Record Set)","How to Download","RDBMS Table Name","RDBMS Schema & Column Types","Vulnerability / Audit Check Criteria","MITRE ATT&CK Mapping","MITRE D3FEND Mapping","Tool Limitations & Analysis Notes"
"AWS","Identity & Access Management","IAM Policy Documents & Attached Policies","aws iam get-account-authorization-details --output json","JSON","Account authorization state: Users, Groups, Roles, Managed Policies, Inline Policies","CLI: aws iam get-account-authorization-details --output json OR AWS SDK (Boto3: iam.get_account_authorization_details())","aws_iam_policies","policy_id VARCHAR(64) PRIMARY KEY, policy_name VARCHAR(128), entity_type VARCHAR(32), entity_name VARCHAR(128), is_attached BOOLEAN, document_json JSONB, created_at TIMESTAMP","Identify customer-managed policies with wildcard permissions ('Resource: *' with 'Action: *') or admin rights assigned directly to users instead of groups.","T1078 (Valid Accounts), T1098 (Account Manipulation), T1484 (Domain Policy Modification)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","get-account-authorization-details is paginated if response > 1MB. Requires 'iam:GetAccountAuthorizationDetails' permission."
"AWS","Network Configuration","VPC Security Groups & Network ACLs","aws ec2 describe-security-groups --output json","JSON","Security Group IDs, VPC IDs, Ingress Rules (IPPermissions), Egress Rules (IPPermissionsEgress), Tags","CLI: aws ec2 describe-security-groups --output json OR AWS SDK (ec2.describe_security_groups())","aws_security_groups","group_id VARCHAR(64) PRIMARY KEY, vpc_id VARCHAR(64), group_name VARCHAR(128), direction VARCHAR(8), protocol VARCHAR(16), from_port INT, to_port INT, cidr_ipv4 VARCHAR(32), cidr_ipv6 VARCHAR(64), rule_json JSONB","Check for rules allowing unrestricted ingress ('0.0.0.0/0' or '::/0') on administrative ports like TCP/22 (SSH) and TCP/3389 (RDP).","T1190 (Exploit Public-Facing Application), T1021 (Remote Services - SSH/RDP)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Requires 'ec2:DescribeSecurityGroups' and 'ec2:DescribeNetworkAcls' across all active AWS regions."
"AWS","Auditing & Logging","CloudTrail Logs & Trail Configuration","aws cloudtrail describe-trails --output json","JSON","Trail ARN, Name, S3BucketName, IsMultiRegionTrail, LogFileValidationEnabled, KmsKeyId, HomeRegion, IsLogging","CLI: aws cloudtrail describe-trails --output json && aws cloudtrail get-trail-status --name <trail>","aws_cloudtrail_configs","trail_arn VARCHAR(256) PRIMARY KEY, trail_name VARCHAR(128), s3_bucket VARCHAR(128), is_multi_region BOOLEAN, log_validation_enabled BOOLEAN, kms_key_id VARCHAR(256), is_logging BOOLEAN, config_json JSONB","Verify that at least one multi-region trail is configured, active, and logs are write-protected (Log File Validation enabled).","T1562.001 (Impair Defenses: Disable or Modify Tools)","D3-AL (Auditing and Logging), D3-LVA (Log Validation)","Only reports trail metadata, not log events. Combine with CloudTrail Event History or Athena for deep telemetry audit."
"Azure","Identity & Access Management","Subscription & Resource Role Assignments (RBAC)","az role assignment list --all --output json","JSON","Role Assignment ID, PrincipalId, PrincipalType, RoleDefinitionId, RoleDefinitionName, Scope, SubscriptionId","CLI: az role assignment list --all --output json OR Azure Resource Graph / REST API GET /subscriptions/{subId}/providers/Microsoft.Authorization/roleAssignments","azure_rbac_assignments","assignment_id VARCHAR(256) PRIMARY KEY, principal_id VARCHAR(64), principal_type VARCHAR(32), principal_name VARCHAR(128), role_name VARCHAR(128), scope VARCHAR(512), subscription_id VARCHAR(64), is_guest BOOLEAN","Identify guest or unmanaged accounts containing Owner or Contributor roles directly assigned at subscription scopes.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Requires 'Microsoft.Authorization/roleAssignments/read' across subscriptions. Guest users require cross-referencing with Entra ID user object state."
"Azure","Network Configuration","Network Security Group (NSG) Rules & Peering Configs","az graph query -q ""Resources | where type =~ 'Microsoft.Network/networkSecurityGroups'""","JSON","NSG ID, Name, ResourceGroup, SubnetBindings, SecurityRules (Access, Direction, Priority, SourceAddressPrefix, DestinationPortRange, Protocol), VNet Peerings","CLI: az graph query -q ""Resources | where type =~ 'Microsoft.Network/networkSecurityGroups'"" OR REST API GET /providers/Microsoft.Network/networkSecurityGroups","azure_nsg_rules","rule_id VARCHAR(256) PRIMARY KEY, nsg_id VARCHAR(256), nsg_name VARCHAR(128), priority INT, direction VARCHAR(16), access VARCHAR(16), source_prefix VARCHAR(64), dest_port_range VARCHAR(64), protocol VARCHAR(16), raw_rule JSONB","Identify NSGs allowing open ingress on administration ports, and check for unencrypted cross-subscription VNET peerings.","T1190 (Exploit Public-Facing Application), T1021 (Remote Services)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Resource Graph API is subject to query throttling. NetworkWatcher data recommended for live flow monitoring."
"Azure","Auditing & Logging","Diagnostic Settings & Activity Log Alerts","az monitor diagnostic-settings list --resource <resource_id>","JSON","Setting ID, ResourceId, WorkspaceId, StorageAccountId, EventHubName, Logs (Category, Enabled, RetentionPolicy)","CLI: az monitor diagnostic-settings list --resource <resource_id> OR az monitor activity-log alert list","azure_diagnostic_settings","setting_id VARCHAR(256) PRIMARY KEY, resource_id VARCHAR(512), workspace_id VARCHAR(256), storage_account VARCHAR(256), log_categories JSONB, alerts_enabled BOOLEAN","Ensure administrative write events (such as resource creation or policy changes) trigger SIEM forwarding and security alerts.","T1562.001 (Impair Defenses), T1562.008 (Disable Cloud Logs)","D3-AL (Auditing and Logging), D3-SCA (Security Control Auditing)","Must iterate across all Azure resource types or query Azure Resource Graph for comprehensive coverage."
"GCP","Identity & Access Management","Project & Folder level IAM Policies","gcloud projects get-iam-policy <project_id> --format=json","JSON","ETag, Bindings (Role, Members [user:, serviceAccount:, group:, domain:, allUsers]), AuditConfigs","CLI: gcloud projects get-iam-policy <project_id> --format=json OR GCP Asset Inventory API (gcloud asset search-all-iam-policies)","gcp_iam_bindings","binding_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), role VARCHAR(128), member_type VARCHAR(32), member_email VARCHAR(128), condition JSONB, policy_etag VARCHAR(64)","Identify wildcard bindings or external Gmail accounts assigned Editor or Owner roles at the project root.","T1078 (Valid Accounts), T1098 (Account Manipulation)","D3-IAM (Identity & Access Management), D3-POA (Policy Access Control)","Direct project query misses inherited folder/organization policies. Asset Inventory API provides unified inheritance view."
"GCP","Network Configuration","VPC Firewall Rules","gcloud compute firewall-rules list --format=json","JSON","Rule ID, Name, Network, Direction, Priority, SourceRanges, Allowed/Denied Protocols & Ports, Disabled, TargetTags","CLI: gcloud compute firewall-rules list --format=json OR Compute Engine REST API GET /projects/{project}/global/firewalls","gcp_firewall_rules","rule_id VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), rule_name VARCHAR(128), direction VARCHAR(16), action VARCHAR(16), priority INT, source_ranges JSONB, allowed_ports JSONB, is_disabled BOOLEAN","Check for firewall rules with 'sourceRanges' set to '0.0.0.0/0' combined with port 22 or 3389 open.","T1190 (Exploit Public-Facing Application), T1021.001/002 (SSH/RDP)","D3-NI (Network Ingress Filtering), D3-FBR (Firewall Rule Analysis)","Hierarchical firewall policies at organization/folder levels can override VPC rules and must be queried separately."
"GCP","Auditing & Logging","Cloud Logging Sinks","gcloud logging sinks list --format=json","JSON","Sink Name, Destination (storage.googleapis.com, pubsub.googleapis.com, bigquery.googleapis.com), Filter, WriterIdentity, Disabled","CLI: gcloud logging sinks list --format=json OR Cloud Logging API GET /v2/projects/{project}/sinks","gcp_logging_sinks","sink_name VARCHAR(128) PRIMARY KEY, project_id VARCHAR(64), destination VARCHAR(256), filter_text TEXT, writer_identity VARCHAR(128), is_disabled BOOLEAN","Verify project audit logs are actively streamed to a centralized bucket, Pub/Sub, or BigQuery sink for compliance auditing.","T1562.001 (Impair Defenses)","D3-AL (Auditing and Logging)","Check sink filters to ensure audit logs (cloudaudit.googleapis.com) are not excluded by log exclusion rules."
"HashiCorp Vault","Server Settings","Listener and Storage Configs","Local file read of 'vault.hcl'","HCL / JSON","Listener stanza (tcp, tls_disable, tls_cert_file, address), Storage stanza (raft, consul, storage_path), disable_mlock, api_addr","File Read: /etc/vault.d/vault.hcl OR API GET /v1/sys/health & GET /v1/sys/config/state (Vault Enterprise)","vault_server_configs","config_id VARCHAR(64) PRIMARY KEY, hostname VARCHAR(128), tls_disable BOOLEAN, disable_mlock BOOLEAN, storage_type VARCHAR(32), listener_address VARCHAR(128), config_raw TEXT","Verify memory locking ('disable_mlock = false') is enabled and TLS listeners are enforced ('tls_disable = 0').","T1552 (Unsecured Credentials), T1003 (OS Credential Dumping)","D3-MEN (Memory Encryption/Locking), D3-DEC (Data Encryption in Transit)","Direct HCL file read requires root/admin filesystem access on Vault nodes. API alternatives require root/sudo policy."
